Organization_Site,Country,Data_type,Data_level,Age_range_low,Age_range_high,Numerator,Denominator,Percent,Estimates,TB_Type1,TB_Type2,TB_Type3,TB_Type4,Gender,Population1,Population2,Population3,CDR,Comments,Data_Year_Min,Data_Year_Max,Data_source
SATVI,South Africa,HIV prevalence,Site,0,0,2,109,0.01939,,,,,,Both,Trial (epidemiological),,,,,2012,2012,"
NTM presentation"
SATVI,South Africa,HIV prevalence,Site,18,50,7,227,0.03084,,,,,,Both,Trial (clinical),,,,"
All immunodeficiency, including HIV",2015 05 12,2015 05 12,"
IDRI-114"
SATVI,South Africa,HIV prevalence,Site,18,50,12,408,0.02941,,,,,,Both,Trial (clinical),,,,,2015 05 20,2015 05 20,"
C-035-456"
SATVI,South Africa,HIV prevalence,Site,0,0,0,268,0,,,,,,Both,Trial (clinical),,,,,2011,2012,"
C-029-402
"
SATVI,South Africa,HIV prevalence,Site,18,52,49,867,0.05652,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,HIV prevalence,Site,18,52,22,347,0.0634,,,,,,Male only,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,HIV prevalence,Site,18,52,27,530,0.05094,,,,,,Female only,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,HIV prevalence,Site,18,22,6,244,0.02459,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,HIV prevalence,Site,23,27,12,189,0.06349,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,HIV prevalence,Site,28,32,19,134,0.14179,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,HIV prevalence,Site,33,37,8,114,0.07018,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,HIV prevalence,Site,38,42,2,75,0.02667,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,HIV prevalence,Site,43,47,2,89,0.02247,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,HIV prevalence,Site,48,52,0,22,0,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,HIV prevalence,Site,18,59,7,126,0.05556,,,,,,Both,Trial (clinical),,,,,2011,2012,"
Luabeya 2015 First-in-human trial of the post-exposuretuberculosis vaccine H56:IC31 in Mycobacteriumtuberculosis infected and non-infected healthy adults"
SATVI,South Africa,HIV prevalence,Site,0,0,0,7,0,,,,,,Both,Trial (clinical),,,,"
Cohort 5; age 84-98 days",2015 07 15,2015 07 15,"
C-015-404"
SATVI,South Africa,LTBI incidence - IGRA,Site,12,18,1607,2860,0.56189,,,,,,Both,Trial (epidemiological),,,,"
At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - IGRA,Site,12,12,2,6,0.33333,,,,,,Both,Trial (epidemiological),,,,"
At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - IGRA,Site,13,13,191,370,0.51622,,,,,,Both,Trial (epidemiological),,,,"
At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - IGRA,Site,14,14,294,603,0.48756,,,,,,Both,Trial (epidemiological),,,,"
At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - IGRA,Site,15,15,385,676,0.56953,,,,,,Both,Trial (epidemiological),,,,"
At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - IGRA,Site,16,16,343,582,0.58935,,,,,,Both,Trial (epidemiological),,,,"
At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - IGRA,Site,17,17,257,456,0.5636,,,,,,Both,Trial (epidemiological),,,,"
At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - IGRA,Site,18,18,135,200,0.675,,,,,,Both,Trial (epidemiological),,,,"
At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - IGRA,Site,12,18,34,5244,0.0064,Numerator estimated from percent and denominator,,,,,Both,Trial (epidemiological),,,,,2011,2011,"
Mahomed 2011 The Tuberculin Skin Test versus QuantiFERON TB Gold® in Predicting Tuberculosis Disease in an Adolescent Cohort Study in South Africa"
SATVI,South Africa,LTBI incidence - TST,Site,12,18,1618,2533,0.63877,,,,,,Both,Trial (epidemiological),,,,"
TST induration =>5mm; At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - TST,Site,12,12,3,6,0.5,,,,,,Both,Trial (epidemiological),,,,"
TST induration =>5mm; At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - TST,Site,13,13,195,337,0.57864,,,,,,Both,Trial (epidemiological),,,,"
TST induration =>5mm; At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - TST,Site,14,14,313,533,0.58724,,,,,,Both,Trial (epidemiological),,,,"
TST induration =>5mm; At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - TST,Site,15,15,382,596,0.64094,,,,,,Both,Trial (epidemiological),,,,"
TST induration =>5mm; At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - TST,Site,16,16,347,519,0.66859,,,,,,Both,Trial (epidemiological),,,,"
TST induration =>5mm; At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - TST,Site,17,17,250,373,0.67024,,,,,,Both,Trial (epidemiological),,,,"
TST induration =>5mm; At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - TST,Site,18,18,128,169,0.7574,,,,,,Both,Trial (epidemiological),,,,"
TST induration =>5mm; At 1 year follow-up",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI incidence - TST,Site,0,0,14,70,0.2,,,,,,Both,Trial (epidemiological),,,,"
Among NTM+ participants
19 months median age; TST cut-off not provided",2006,2009,"
NTM presentation"
SATVI,South Africa,LTBI incidence - TST,Site,0,0,13,20,0.65,,,,,,Both,LTBI+ population,Trial (epidemiological),,,"
8 months median age; TST cut-off not provided",2006,2009,"
NTM presentation"
SATVI,South Africa,LTBI incidence - TST,Site,0,0,3,28,0.10714,,,,,,Both,Trial (epidemiological),,,,"
Among NTM+ participants
18 months median age; TST cut-off not provided",2012,2012,"
NTM presentation"
SATVI,South Africa,LTBI incidence - TST,Site,0,0,10,22,0.45455,,,,,,Both,LTBI+ population,Trial (epidemiological),,,"
14 months median age; TST cut-off not provided",2012,2012,"
NTM presentation"
SATVI,South Africa,LTBI incidence - TST,Site,12,18,37,5244,0.007,Numerator estimated from percent and denominator,,,,,Both,Trial (epidemiological),,,,"
TST induration =>10mm",2011,2011,"
Mahomed 2011 The Tuberculin Skin Test versus QuantiFERON TB Gold® in Predicting Tuberculosis Disease in an Adolescent Cohort Study in South Africa"
SATVI,South Africa,LTBI prevalence - IGRA,Site,12,17,1233,1916,0.64353,,,,,,Both,Trial (clinical),,,,"
15.15 yo is mean age of infection",2015 06 04,2015 06 04,"
C-040-404"
SATVI,South Africa,LTBI prevalence - IGRA,Site,12,18,3233,6037,0.53553,,,,,,Both,Trial (epidemiological),,,,"
Baseline",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - IGRA,Site,12,12,25,52,0.48077,,,,,,Both,Trial (epidemiological),,,,"
Baseline",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - IGRA,Site,13,13,339,760,0.44605,,,,,,Both,Trial (epidemiological),,,,"
Baseline",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - IGRA,Site,14,14,619,1253,0.49401,,,,,,Both,Trial (epidemiological),,,,"
Baseline",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - IGRA,Site,15,15,742,1362,0.54479,,,,,,Both,Trial (epidemiological),,,,"
Baseline",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - IGRA,Site,16,16,699,1230,0.56829,,,,,,Both,Trial (epidemiological),,,,"
Baseline",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - IGRA,Site,17,17,510,901,0.56604,,,,,,Both,Trial (epidemiological),,,,"
Baseline",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - IGRA,Site,18,18,299,479,0.62422,,,,,,Both,Trial (epidemiological),,,,"
Baseline",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - IGRA,Site,12,18,2670,5244,0.509,Numerator estimated from percent and denominator,,,,,Both,Trial (epidemiological),,,,,2011,2011,"
Mahomed 2011 The Tuberculin Skin Test versus QuantiFERON TB Gold® in Predicting Tuberculosis Disease in an Adolescent Cohort Study in South Africa"
SATVI,South Africa,LTBI prevalence - IGRA,Site,18,50,175,408,0.42892,,,,,,Both,Trial (clinical),,,,"
No age data available to determine mean age of infection",2015 05 20,2015 05 20,"
C-035-456"
SATVI,South Africa,LTBI prevalence - IGRA,Site,0,0,14,268,0.05224,,,,,,Both,Trial (clinical),,,,"
0.33 yo is mean age of infection",2011,2012,"
C-029-402
"
SATVI,South Africa,LTBI prevalence - IGRA,Site,0,0,0,7,0,,,,,,Both,Trial (clinical),,,,"
Cohort 5; age 84-98 days",2015 07 15,2015 07 15,"
C-015-404"
SATVI,South Africa,LTBI prevalence - IGRA,Site,18,52,678,877,0.77309,,,,,,Both,Trial (clinical),,,,"
29.27 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,LTBI prevalence - IGRA,Site,18,52,402,530,0.75849,,,,,,Female only,Trial (clinical),,,,"
29.27 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,LTBI prevalence - IGRA,Site,18,52,276,347,0.79539,,,,,,Male only,Trial (clinical),,,,"
29.27 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,LTBI prevalence - IGRA,Site,18,22,165,244,0.67623,,,,,,Both,Trial (clinical),,,,"
29.27 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,LTBI prevalence - IGRA,Site,23,27,155,189,0.82011,,,,,,Both,Trial (clinical),,,,"
29.27 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,LTBI prevalence - IGRA,Site,28,32,108,134,0.80597,,,,,,Both,Trial (clinical),,,,"
29.27 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,LTBI prevalence - IGRA,Site,33,37,89,114,0.7807,,,,,,Both,Trial (clinical),,,,"
29.27 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,LTBI prevalence - IGRA,Site,38,42,59,75,0.78667,,,,,,Both,Trial (clinical),,,,"
29.27 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,LTBI prevalence - IGRA,Site,43,47,75,89,0.8427,,,,,,Both,Trial (clinical),,,,"
29.27 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,LTBI prevalence - IGRA,Site,48,52,17,22,0.77273,,,,,,Both,Trial (clinical),,,,"
29.27 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
SATVI,South Africa,LTBI prevalence - IGRA,Site,18,50,0,228,0,,,,,,Both,Trial (clinical),,,,"
   ",2015 05 12,2015 05 12,"
IDRI-114"
SATVI,South Africa,LTBI prevalence - IGRA,Site,12,18,3233,6363,0.50809,,,,,,Both,Students,,,,,2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa 
"
SATVI,South Africa,LTBI prevalence - TST,Site,12,18,3115,5661,0.55026,,,,,,Both,Trial (epidemiological),,,,"
Baseline; TST induration =>5mm",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - TST,Site,12,12,26,61,0.42623,,,,,,Both,Trial (epidemiological),,,,"
Baseline; TST induration =>5mm",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - TST,Site,13,13,328,727,0.45117,,,,,,Both,Trial (epidemiological),,,,"
Baseline; TST induration =>5mm",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - TST,Site,14,14,591,1167,0.50643,,,,,,Both,Trial (epidemiological),,,,"
Baseline; TST induration =>5mm",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - TST,Site,15,15,704,1246,0.56501,,,,,,Both,Trial (epidemiological),,,,"
Baseline; TST induration =>5mm",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - TST,Site,16,16,676,1168,0.57877,,,,,,Both,Trial (epidemiological),,,,"
Baseline; TST induration =>5mm",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - TST,Site,17,17,491,854,0.57494,,,,,,Both,Trial (epidemiological),,,,"
Baseline; TST induration =>5mm",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - TST,Site,18,18,299,438,0.68265,,,,,,Both,Trial (epidemiological),,,,"
Baseline; TST induration =>5mm",2000,2000,"
SATVI ACS"
SATVI,South Africa,LTBI prevalence - TST,Site,12,18,2203,5244,0.42,Numerator estimated from percent and denominator,,,,,Both,Trial (epidemiological),,,,"
TST induration =>10mm",2011,2011,"
Mahomed 2011 The Tuberculin Skin Test versus QuantiFERON TB Gold® in Predicting Tuberculosis Disease in an Adolescent Cohort Study in South Africa"
SATVI,South Africa,LTBI prevalence - TST,Site,12,18,3115,6363,0.48955,,,,,,Both,Students,,,,"
TST induration =>5mm",2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa 
"
SATVI,South Africa,TB incidence,Site,0,0,9,70,0.12857,,PTB,,,,Both,High-risk population (healthcare setting),Trial (epidemiological),,,"
Among NTM+ participants
19 months median age",2006,2009,"
NTM presentation"
SATVI,South Africa,TB incidence,Site,0,0,6,20,0.3,,PTB,,,,Both,LTBI+ population,Trial (epidemiological),,,"
8 months median age",2012,2012,"
NTM presentation"
SATVI,South Africa,TB incidence,Site,0,0,8,28,0.28571,,PTB,,,,Both,Trial (epidemiological),,,,"
Among NTM+ participants
18 months median age",2012,2012,"
NTM presentation"
SATVI,South Africa,TB incidence,Site,0,0,9,22,0.40909,,PTB,,,,Both,LTBI+ population,Trial (epidemiological),,,"
14 months median age",2012,2012,"
NTM presentation"
SATVI,South Africa,TB incidence,Site,12,18,67,6363,0.01053,,"Definite (e.g., culture positive)",,,,Both,Students,,,,,2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa"
SATVI,South Africa,TB incidence,Site,12,18,45,3458,0.01301,,"Definite (e.g., culture positive)",,,,Female only,Students,,,,,2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa"
SATVI,South Africa,TB incidence,Site,12,18,22,2905,0.00757,,"Definite (e.g., culture positive)",,,,Male only,Students,,,,,2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa 
"
SATVI,South Africa,TB incidence,Site,12,14,31,2760,0.01123,,"Definite (e.g., culture positive)",,,,Both,Students,,,,,2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa 
"
SATVI,South Africa,TB incidence,Site,15,18,36,3603,0.00999,,"Definite (e.g., culture positive)",,,,Both,Students,,,,,2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa 
"
SATVI,South Africa,TB incidence,Site,12,18,87,6363,0.01367,,"Definite (e.g., culture positive)","Probable (e.g., clinically diagnosed)",,,Both,Students,,,,,2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa 
"
SATVI,South Africa,TB prevalence,Site,12,18,67,87,0.77011,,"Definite (e.g., culture positive)",,,,Both,Students,TB patients (incident cases),,,,2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa 
"
SATVI,South Africa,TB prevalence,Site,12,18,42,67,0.62687,,"Definite (e.g., culture positive)",SS+,,,Both,Students,TB patients (incident cases),,,"
S+C+",2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa"
SATVI,South Africa,TB prevalence,Site,12,18,15,67,0.22388,,"Definite (e.g., culture positive)",SS-,,,Both,Students,TB patients (incident cases),,,"
S-C+",2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa
"
SATVI,South Africa,TB prevalence,Site,12,18,8,67,0.1194,,SS+,,,,Both,Students,TB patients (incident cases),,,"
S+C-",2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa
"
SATVI,South Africa,TB prevalence,Site,12,18,0,67,0,,SS-,,,,Both,Students,,,,"
S-C-",2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa
"
SATVI,South Africa,TB prevalence,Site,12,18,2,67,0.02985,,SS+,,,,Both,Students,TB patients (incident cases),,,"
S+ culture not done",2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa
"
SATVI,South Africa,TB prevalence,Site,12,18,0,67,0,,SS-,,,,Both,Students,TB patients (incident cases),,,"
S- culture not done",2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa
"
SATVI,South Africa,TB prevalence,Site,12,18,42,87,0.48276,,"Definite (e.g., culture positive)",SS+,,,Both,Students,TB patients (incident cases),TB patients (probable),,"
S+C+",2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa
"
SATVI,South Africa,TB prevalence,Site,12,18,19,87,0.21839,,"Definite (e.g., culture positive)",SS-,,,Both,Students,TB patients (incident cases),TB patients (probable),,"
S-C+",2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa
"
SATVI,South Africa,TB prevalence,Site,12,18,9,87,0.10345,,SS+,,,,Both,Students,TB patients (incident cases),TB patients (probable),,"
S+C-",2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa
"
SATVI,South Africa,TB prevalence,Site,12,18,13,87,0.14943,,SS-,,,,Both,Students,TB patients (incident cases),TB patients (probable),,"
S-C-",2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa
"
SATVI,South Africa,TB prevalence,Site,12,18,2,87,0.02299,,SS+,,,,Both,Students,TB patients (incident cases),TB patients (probable),,"
S+ culture not done",2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa
"
SATVI,South Africa,TB prevalence,Site,12,18,2,87,0.02299,,SS-,,,,Both,Students,TB patients (incident cases),TB patients (probable),,"
S- culture not done",2005,2009,"
Mahomed 2013 TB incidence in an adolescent cohort in South Africa
"
SEREFO TB-HIV Program,Mali,HIV prevalence,District,15,49,38000,2000000,0.019,Numerator estimated from percent and denominator,,,,,Both,Community,,,,,2015,2015,"
PQV"
SEREFO TB-HIV Program,Mali,HIV prevalence,District,15,49,440000,2000000,0.22,Numerator estimated from percent and denominator,,,,,Both,TB patients (incident cases),,,,,2015,2015,"
PQV"
SEREFO TB-HIV Program,Mali,LTBI prevalence - IGRA,Site,18,100,9,39,0.23077,,,,,,Both,Community,,,,,2015,2015,"
TB infection presentation"
SEREFO TB-HIV Program,Mali,LTBI prevalence - IGRA,Site,18,35,7,35,0.2,,,,,,Both,Community,,,,,2015,2015,"
TB infection presentation"
SEREFO TB-HIV Program,Mali,LTBI prevalence - IGRA,Site,36,50,1,2,0.5,,,,,,Both,Community,,,,,2015,2015,"
TB infection presentation"
SEREFO TB-HIV Program,Mali,LTBI prevalence - IGRA,Site,50,100,1,2,0.5,,,,,,Both,Community,,,,,2015,2015,"
TB infection presentation"
SEREFO TB-HIV Program,Mali,LTBI prevalence - TST,Site,18,35,49,67,0.73134,,,,,,Both,HIV- population,,,,"
TST cut-off not provided",2015,2015,"
TB infection presentation"
SEREFO TB-HIV Program,Mali,LTBI prevalence - TST,Site,36,50,5,6,0.83333,,,,,,Both,HIV- population,,,,"
TST cut-off not provided",2015,2015,"
TB infection presentation"
SEREFO TB-HIV Program,Mali,LTBI prevalence - TST,Site,50,100,1,3,0.33333,,,,,,Both,HIV+ population,,,,"
TST cut-off not provided",2015,2015,"
TB infection presentation"
SEREFO TB-HIV Program,Mali,LTBI prevalence - TST,Site,0,100,54,73,0.73973,,,,,,Both,HIV- population,,,,"
TST cut-off not provided",2015,2015,"
TB infection presentation"
SEREFO TB-HIV Program,Mali,LTBI prevalence - TST,Site,18,35,9,32,0.28125,,,,,,Both,HIV+ population,,,,"
TST cut-off not provided",2015,2015,"
TB infection presentation"
SEREFO TB-HIV Program,Mali,LTBI prevalence - TST,Site,36,50,3,12,0.25,,,,,,Both,HIV+ population,,,,"
TST cut-off not provided",2015,2015,"
TB infection presentation"
SEREFO TB-HIV Program,Mali,LTBI prevalence - TST,Site,0,100,13,47,0.2766,,,,,,Both,HIV+ population,,,,"
TST cut-off not provided",2015,2015,"
TB infection presentation"
SEREFO TB-HIV Program,Mali,TB incidence,District,0,75,2400,2000000,0.0012,Numerator estimated from percent and denominator,PTB,,,,Both,Community,,,,,2015,2015,"
PQV"
Setshaba Research Centre,South Africa,HIV incidence,Site,18,40,,,0.03,,,,,,Both,Community,,,,"
Percent ranges from 3-6% per year",2012,2012,"
TB018 presentation"
Setshaba Research Centre,South Africa,HIV incidence,Site,0,100,,,0.06,,,,,,Both,High-risk population (undefined),,,,,2013,2013,"
Site description"
Setshaba Research Centre,South Africa,HIV incidence,Site,0,100,,,0.03,,,,,,Both,Community,,,,"
Percent ranges from 3-4%",2013,2013,"
Site description"
Setshaba Research Centre,South Africa,HIV prevalence,District,15,49,528000,2200000,0.24,Numerator estimated from percent and denominator,,,,,Both,Community,,,,,2013,2013,"
PQV & 2012 TB018 presentation"
Setshaba Research Centre,South Africa,HIV prevalence,Site,0,100,,,0.5,,,,,,Both,Community,TB patients (incident cases),,,"
In Boikhutsong",2013,2013,"
PQV"
Setshaba Research Centre,South Africa,HIV prevalence,District,0,100,594000,2200000,0.27,Numerator estimated from percent and denominator,,,,,Both,Community,,,,,2012,2012,"
TB018 presentation"
Setshaba Research Centre,South Africa,HIV prevalence,Site,18,52,114,935,0.12193,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,HIV prevalence,Site,18,52,39,505,0.07723,,,,,,Male only,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,HIV prevalence,Site,18,52,75,430,0.17442,,,,,,Female only,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,HIV prevalence,Site,18,22,10,257,0.03891,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,HIV prevalence,Site,23,27,21,270,0.07778,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,HIV prevalence,Site,28,32,33,173,0.19075,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,HIV prevalence,Site,33,37,26,114,0.22807,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,HIV prevalence,Site,38,42,10,50,0.2,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,HIV prevalence,Site,43,47,13,48,0.27083,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,HIV prevalence,Site,48,52,1,23,0.04348,,,,,,Both,Trial (clinical),,,,,2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,LTBI prevalence - IGRA,Site,18,100,20,60,0.33,Numerator estimated from percent and denominator,,,,,Both,HIV+ population,,,,,2009,2009,"
Veldsman 2009 QuantiFERON-TB GOLD ELISA assay for the detection of Mycobacterium tuberculosis-specific antigens in blood specimens of HIV-positive patients in a high-burden country"
Setshaba Research Centre,South Africa,LTBI prevalence - IGRA,Site,18,52,450,935,0.48128,,,,,,Both,Trial (clinical),,,,"
29.50 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,LTBI prevalence - IGRA,Site,18,52,228,505,0.45149,,,,,,Male only,Trial (clinical),,,,"
29.50 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,LTBI prevalence - IGRA,Site,18,52,222,430,0.51628,,,,,,Female only,Trial (clinical),,,,"
29.50 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,LTBI prevalence - IGRA,Site,18,22,88,257,0.34241,,,,,,Both,Trial (clinical),,,,"
29.50 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,LTBI prevalence - IGRA,Site,23,27,130,270,0.48148,,,,,,Both,Trial (clinical),,,,"
29.50 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,LTBI prevalence - IGRA,Site,28,32,96,173,0.55491,,,,,,Both,Trial (clinical),,,,"
29.50 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,LTBI prevalence - IGRA,Site,33,37,61,114,0.53509,,,,,,Both,Trial (clinical),,,,"
29.50 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,LTBI prevalence - IGRA,Site,38,42,28,50,0.56,,,,,,Both,Trial (clinical),,,,"
29.50 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,LTBI prevalence - IGRA,Site,43,47,34,48,0.70833,,,,,,Both,Trial (clinical),,,,"
29.50 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,LTBI prevalence - IGRA,Site,48,52,13,23,0.56522,,,,,,Both,Trial (clinical),,,,"
29.50 yo is mean age of infection",2015 07 01,2015 07 01,"
TB018"
Setshaba Research Centre,South Africa,TB incidence,District,15,24,1019,2200000,0.00046,,PTB,,,,Both,TB patients (notified cases),,,,,2010,2010,"
2012 TB018 presentation"
Setshaba Research Centre,South Africa,TB incidence,District,25,34,3361,2200000,0.00153,,PTB,,,,Both,TB patients (notified cases),,,,,2010,2010,"
2012 TB018 presentation"
Setshaba Research Centre,South Africa,TB incidence,District,35,44,3509,2200000,0.0016,,PTB,,,,Both,TB patients (notified cases),,,,,2010,2010,"
2012 TB018 presentation"
Setshaba Research Centre,South Africa,TB incidence,District,45,54,1879,2200000,0.00085,,PTB,,,,Both,TB patients (notified cases),,,,,2010,2010,"
2012 TB018 presentation"
Setshaba Research Centre,South Africa,TB incidence,District,0,4,418,2200000,0.00019,,PTB,,,,Male only,TB patients (undefined),,,,,2010,2011,"
2012 TB018 presentation"
Setshaba Research Centre,South Africa,TB incidence,District,5,14,208,2200000,0.00009,,PTB,,,,Male only,TB patients (undefined),,,,,2010,2011,"
2012 TB018 presentation"
Setshaba Research Centre,South Africa,TB incidence,District,15,24,362,2200000,0.00016,,PTB,,,,Male only,TB patients (undefined),,,,,2010,2011,"
2012 TB018 presentation"
Setshaba Research Centre,South Africa,TB incidence,District,25,34,1479,2200000,0.00067,,PTB,,,,Male only,TB patients (undefined),,,,,2010,2011,"
2012 TB018 presentation"
Setshaba Research Centre,South Africa,TB incidence,District,35,44,1932,2200000,0.00088,,PTB,,,,Male only,TB patients (undefined),,,,,2010,2011,"
2012 TB018 presentation"
